"province","district","ward","id","code","name","address","email","latitude","longitude"
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2105,"VTU-VinMart+-72A-72BVoThiSau","VTU-VinMart+-72A-72BVoThiSau","72A -72B Võ Thị Sáu, Phường Thắng Tam, TP. Vũng Tàu, Tỉnh Bà Rịa – Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2112,"VTU-VinMart+-782TranPhu","VTU-VinMart+-782TranPhu","782 Trần Phú, Phường Thắng Nhì, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2114,"VTU-VinMart+-890Duong30/4","VTU-VinMart+-890Duong30/4","890 Đường 30 tháng 4, Phường 11, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2111,"VTU-VinMart+-CCChiLinh05","VTU-VinMart+-CCChiLinh05","Căn hộ PA.01.05, TM thuộc Block A CC Dic Phoenix Khu TT Chí Linh, Phường Nguyễn An Ninh, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2110,"VTU-VinMart+-CCChiLinh08","VTU-VinMart+-CCChiLinh08","Căn hộ PB.01.08, TM thuộc Block A CC Dic Phoenix Khu TT Chí Linh, Phường Nguyễn An Ninh, TP Vũng Tàu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1927,"NewStation","Warehouse đại diện New Station","Warehouse đại diện New Station","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2353,"abc1","123","83 Huỳnh Thúc Kháng, Phước Mỹ, Phan Rang-Tháp Chàm, Ninh Thuận, Vietnam","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2304,"KV1 Bưu cục 970 Hùng Vương - Chư Sê","KV1 Bưu cục 970 Hùng Vương - Chư Sê","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2319,"2319","Kho giao nhận Ahamove_Hà Nội","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2318,"2318","Kho giao nhận Ahamove_Hồ Chí Minh","","",0,0
"Bến Tre","Thành phố Bến Tre","Phường Phú Tân",2315,"2315","Bưu Cục 89 Nguyễn Thị Định-TP.Bến Tre 01","Huyện Ba Tri - Bến Tre","",10.2577707,106.3818388
"Cao Bằng","Thành phố Cao Bằng","Phường Đề Thám",2334,"2334","Bưu Cục Bảo Lạc-Cao Bằng","số 82 đường quốc lộ 3 cũ tổ 2 phường Đề Thám","",106.22257,22.68391
"Sơn La","Huyện Phù Yên","Xã Huy Hạ",2321,"2321","Bưu Cục Bắc Yên-Sơn La","Bản đồng lương, xã Huy Hạ, huyện Phù Yên, tỉnh Sơn La","",21.2371511,104.6298987
"","","",2330,"2330","Bưu Cục 299 Trung Kính-Q.Cầu Giấy-HN","Ngõ 299 Trung Kính – Lô đất dự án công viên Cầu Giấy – Phường Yên Hòa – Quận Cầu Giấy – Thành phố Hà Nội","",21.0205111,105.7896634
"An Giang","Huyện Châu Phú","Thị trấn Cái Dầu",2314,"2314","Bưu Cục Châu Phú-An Giang","Ấp Bình Hòa Thị Trấn Cái Dầu Huyện Châu Phú Tỉnh An Giang","",10.5675698,105.2407279
"Hậu Giang","Huyện Châu Thành A","Thị trấn Cái Tắc",2313,"2313","Bưu Cục Châu Thành A-Hậu Giang","Ấp Tân Phú A Thị Trấn Cái Tắc Huyện Châu Thành A Tỉnh Hậu Giang","",9.9246365,105.728131
"Quảng Ngãi","Huyện đảo Lý Sơn","Xã An Vĩnh",2320,"2320","Bưu Cục Đảo Lý Sơn-Quảng Ngãi","Thôn Đông, xã An Vĩnh, huyện Lý Sơn, tỉnh Quảng Ngãi","",15.3756524,109.104526
"Hà Giang","Huyện Hoàng Su Phì","Thị trấn Vinh Quang",2325,"2325","Bưu Cục Hoàng Su Phì-Hà Giang","Huyện Hoàng Su Phì - Hà Giang","",22.7397802,104.680357
"Kon Tum","Thành phố Kon Tum","Phường Quang Trung",2310,"2310","Bưu Cục Kon Plông-Kon Tum","Số 02 - Tuệ Tĩnh - P.Quang Trung -TP Kon Tum - Tỉnh Kon Tum","",14.367649,107.993544
"Đắk Lắk","Huyện Krông Năng","Thị trấn Krông Năng",2348,"2348","Bưu Cục Krông Năng-Đắk Lắk","Buôn Wiâo A, Thị Trấn Krông Năng, Tỉnh Đăk Lăk","",12.94844,108.349033
"Bình Thuận","Thị xã La Gi","Phường Tân Thiện",2350,"2350","Bưu Cục 263 Nguyễn Trường Tộ-La Gi-Bình Thuận","263 NGuyễn Trường Tộ Phường Tân Thiện Thị xã Lagi , Bình Thuận","duy.ph@ghn.vn",10.6803562,107.7589945
"Thái Nguyên","Huyện Phú Bình","Xã Kha Sơn",2326,"2326","Bưu Cục Phú Bình-Thái Nguyên","Khu tái định cư, xã Kha Sơn, huyện Phú Bình, tỉnh Thái Nguyên","",21.4457483,105.9820901
"Sơn La","Huyện Phù Yên","Xã Huy Hạ",2322,"2322","Bưu Cục Phù Yên-Sơn La","Bản Đồng Lương, Xã Huy Hạ, Huyện Phù Yên, Tỉnh Sơn La","",21.2386468,104.629845
"Hồ Chí Minh","Quận Tân Phú","Phường Sơn Kỳ",2352,"2352","Bưu Cục 20/82-84 Bờ Bao Tân Thắng-Q.Tân Phú-HCM","2080 ,82,84 Đường Bờ Bao Tân Thắng Phường Sơn Kỳ _Quận Tân Phú TP Hồ Chí Minh","",10.8082428,106.6168029
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2345,"KhoLayLZD","Kho lấy hàng Lazada_Hồ Chí Minh","Quận Bình Tân - Hồ Chí Minh","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2336,"KhoLayGoVap","Kho lấy hàng shop lớn Gò Vấp_Hồ Chí Minh","Quận Gò Vấp - Hồ Chí Minh","",0,0
"Hồ Chí Minh","Quận 11","Phường 15",2339,"KhoLayQ10","Kho lấy hàng shop lớn Quận 10_Hồ Chí Minh","Quận 10 - Hồ Chí Minh","",10.865452,106.649654
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2342,"KhoLayQ12","Kho lấy hàng shop lớn Quận 12_Hồ Chí Minh","Quận 12 - Hồ Chí Minh","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2338,"KhoLayQ3","Kho lấy hàng shop lớn Quận 3_Hồ Chí Minh","Quận 3 - Hồ Chí Minh","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2340,"KhoLayQ6","Kho lấy hàng shop lớn Quận 6_Hồ Chí Minh","Quận 6 - Hồ Chí Minh","",0,0
"Hồ Chí Minh","Quận 11","Phường 15",2341,"KhoLayQ7","Kho lấy hàng shop lớn Quận 7_Hồ Chí Minh","Quận 7 - Hồ Chí Minh","",10.865452,107.993418
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2344,"KhoLayTiki","Kho lấy hàng Tiki_Hồ Chí Minh","Quận Bình Tân - Hồ Chí Minh","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1601,"1601","HCM-SHOP&GO-33ThachLam","33 Thạch Lam, Phường Hiệp Tân, Quận Tân Phú","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1600,"1600","HCM-SHOP&GO-6CachMangThangTam","","",0.0001079641,0.001066644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1602,"1602","HCM-Vinmart+-86TranQuangDieu","86 Trần Quang Diệu, Phường 14, Quận 3","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1802,"HN-CircleK-38DaoDuyTu","HN-CircleK-38DaoDuyTu","HN-CircleK-38DaoDuyTu","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1804,"HN-CircleK-73ChuaLang","HN-CircleK-73ChuaLang","HN-CircleK-73ChuaLang","",10.79641,106.6644
"Ninh Bình","Thị xã Tam Điệp","Phường Bắc Sơn",1800,"NinhBinh","Tam Điệp, Ninh Bình","Bắc Sơn, Tam Điệp, Ninh Bình","",10.52158,105.1259
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1175,"1175","Bạc Liêu","Bạc Liêu","",0,0
"Vĩnh Phúc","Huyện Bình Xuyên","Thị trấn Hương Canh",1328,"1328","Bưu Cục Phúc Yên-Vĩnh Phúc","Khu phố 2, thị trấn Hương Canh, huyện Bình Xuyên, tỉnh Vĩnh Phúc","",21.2731719,105.6496393
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1330,"PhuQuocKG","Kho giao nhận Phú Quốc_Kiên Giang","1","",0,0
"Tiền Giang","Thị xã Cai Lậy","Xã Tân Bình",1331,"1331","Bưu Cục 65/1 Cao Đặng Chiếm-TX.Cai Lậy-Tiền Giang","651 Đường Cao Đặng Chiếm- Thị xã Cai Lậy-Tiền Giang","",21.12835,106.11843
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1318,"Quan5HCM","HCM-Quận 5"," 291 Hồng Bàng, phường 11, quận 5, thành phố Hồ Chí Minh","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1320,"Quan3HCM","HCM-Quận 3","796/7-9 đường Trường Sa, phường 13, quận 3","",0,0
"Hồ Chí Minh","Quận Tân Phú","Phường Phú Thọ Hòa",1335,"1335","HCM Bưu cục 393 Vườn Lài - Hồ Chí Minh","393 vườn lài, phường phú thọ hoà, TP. HCM","",10.788044,106.624691
"Hồ Chí Minh","Quận 4","Phường 4",1337,"1337","Bưu Cục 63 Vĩnh Hội-Q.4-HCM","Số 63 Vĩnh Hội, Phường 4, Quận 4","",10.756358,106.703772
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1362,"HCM-Station-684TinhLo10 ","HCM Bưu cục 684 Tỉnh Lộ 10 - Hồ Chí Minh","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1332,"Quan8HCM","HCM-Quận 8","1","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1324,"1324","Kho Lấy Đặc Biệt ĐN","63 nguyễn giản thanh, Thanh Khê , Đà Nẵng","",0,0
"Hồ Chí Minh","Quận 9","Phường Long Thạnh Mỹ",1326,"1326","Bưu cục 285A Nguyễn Văn Tăng-Q.9-HCM","285A Nguyễn Văn Tăng, Long Thạnh Mỹ, Quận 9, Tp.HCM","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1467,"HN-Station-325TranCung ","HN Bưu cục 325 Trần Cung - Hà Nội","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2183,"CTO-VinMart+-184LyTuTrong  ","CTO-VinMart+-184LyTuTrong  ","184 Lý Tự Trọng, Phường An Cư, Quận Ninh Kiều, TP. Cần Thơ","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2185,"CTO-VinMart+-45XoVietNgheTinh ","CTO-VinMart+-45XoVietNgheTinh ","45 Xô Viết Nghệ Tĩnh, Phường An Cư, TP. Cần Thơ","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2133,"2133","BDG-VinMart+-117KDCPhuHoa"," 117 KDC Phú Hòa , Phường Phú Hòa, Thủ Dầu một , Tỉnh Bình Dương ","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2145,"2145","BDG-VinMart+-86NgoThiNham","86 Ngô Thì Nhậm, KP Nhị Đồng 2, Phường Dĩ An, TX Dĩ An, Tỉnh Bình Dương (Đ/c cũ 1A/5A Khu Phố Nhị Đồng 2)","",0,0
"Bình Định","Thành phố Quy Nhơn","Phường Nhơn Phú",1963,"1963","Bưu Cục Tuy Phước-Bình Định","Huyện Tuy Phước - Bình Định","",13.7861524,109.1787954
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1063,"1063","Bình Dương","","",0,0
"","","",1069,"1069","Bà Rịa Vũng Tàu","100 Ba Ria, Vung Tau","",10.3464161,107.0844111
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1160,"1160","Bắc Kạn","Bắc Kạn","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1179,"1179","Bến Tre","Bến Tre","",0,0
"Hồ Chí Minh","Quận 10","Phường 12",1339111,"HCMQ10","Kho giao nhận Quận 10_Hồ Chí Minh","Quận 10 - Hồ Chí Minh","",10.33479,107.088117
"","","",2142,"2142","BDG-VinMart+-416NguyenThiMinhKhai1 ","416 Nguyễn Thị Minh Khai, KP Đông Chiêu, Phường Tân Đông Hiệp, Thị Xã Dĩ An, Tỉnh Bình Dương --- update","",10.79641,106.6644
"Bình Dương","Thị xã Thuận An","Phường Lái Thiêu",2141,"2141","BDG-VinMart+-62BisCachMangThangTam","62 Bis 62 Bis Cách Mạng Tháng Tám, Khu Phố Đông Tư, Phường Lái Thiêu, Thị Xã Thận An, Tỉnh Bình Dương","",10.79641,106.6644
"Bình Dương","Thị xã Thuận An","Phường Thuận Giao",2135,"2135","BDG-VinMart+-KhuphoHoaLan","1/DC/79 -84-86 khu Phố Hòa lân 2,Thuận Giao , Thuận An, Bình Dương.","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1067,"1067","Big C Biên Hòa","100 Bien Hoa, Dong Nai","",11.235589,10.525855
"Cần Thơ","Huyện Vĩnh Thạnh","Thị trấn Vĩnh Thạnh",1081,"1081","Big C Cần Thơ","Lô số 1, Khu Dân Cư Hưng Phú 1, Hưng Phú, Cái Răng nutristrong ~~!@#$%^^&*()_+|ƯƠPOIUYTREWQASDFGHJKL:""""?><MNBVCXZ?><MNBVCXZ/.,mnbvcxz'';lkjhgfdsa]poiuytrewq=-0987654321","",10.7695007,106.6636137
"Hồ Chí Minh","Quận Bình Thạnh","Phường 11",1077,"1077","Big C Chính","9/11 Nguyễn Huy Tưởng, Bình Thạnh","",10.79641,106.705307
"Bình Dương","Thị xã Thuận An","Phường An Phú",1066,"1066","Big C Dĩ An","Phường Đông Hòa, Thị xã Dĩ An, tỉnh Bình Dươngupdate","",10.98,106.77
"Lâm Đồng","Thành phố Đà Lạt","Phường 10",1089,"1089","Big C Đà Lạt","Quảng trường Lâm Viên, Phường 10, Thành Phố Đà Lạt, Tỉnh Lâm Đồng","",11.9391995,108.4452158
"Hồ Chí Minh","Quận 11","Phường 11",1148,"1148","Big C Hạ Long","Cột 5 Phường Hồng Hải, Hạ Long, Quảng Ninh","",10.98,107.98
"Hải Dương","Thành phố Hải Dương","Phường Nhị Châu",1157,"1157","Big C Hải Dương","Khu TTTM Ngọc Châu, Phường Nhị Châu, TP.Hải Dương","",10.79641,106.6644
"Hồ Chí Minh","Quận Phú Nhuận","Phường 3",1075,"1075","Big C Hoàng Văn Thụ","200 Hoang Van Thu, Phu Nhuan","",10.79641,106.6644
"Hồ Chí Minh","Quận 10","Phường 15",1103,"1103","Big C Huế","Khu quy hoạch Bà Triệu - Hùng Vương - Phường Phú Hội - TP.Huế","",10.7695573,106.6636746
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1092,"1092","Big C MegaMall","SAVICO MegaMall, 7 - 9 Nguyễn Văn Linh, Long Biên, Hà Nội ","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1101,"1101","Big C Mê Linh","TTTM Mê Linh Plaza, km8 cao tốc Bắc Thăng Long - Nội Bài, Quang Minh, Mê Linh, Hà Nội","",0,0
"Hồ Chí Minh","Quận 11","Phường 15",1156,"1156","Big C Nam Định","TTTM Siêu thị Thiên Trường, xã Lộc Hòa, TP.Nam Định","",10.7695042,106.6635809
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1155,"1155","Big C Ninh Bình","Đường Trần Nhân Tông, xã Ninh Phúc, thành phố Ninh Bình","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1105,"1105","Big C Ngô Quyền","Lô 1/20 Khu đô thị Ngã Năm, sân bay Cát Bi, Ngô Quyền, Hải Phòng","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1142,"1142","Bình Phước","BÌnh Phước","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2209,"2209","CTO-VinMart+-119-121DeTham","119-121 Đề Thám, phường An Cư, Q.Ninh Kiều  ( địa chỉ chưa xác nhận theo HĐ )","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2232,"2232","CTO-VinMart+-134ADuong3thang2"," 134 A Đường 3 tháng 2, Phường Hưng Lợi Quận Ninh Kiều, TP. Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2208,"2208","CTO-VinMart+-15AMauThan","15A Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ  ( địa chỉ chưa xác nhận theo HĐ )","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2183,"2183","CTO-VinMart+-184LyTuTrong  ","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2257,"2257","CTO-VinMart+-21-22VoNguyenGiap,DieuHien","21-22 Võ Nguyên Giáp, Khu Dân Cư Diệu Hiền, Khu Vực Thạnh Lợi, Phường Phú Thứ, Quận Cái Răng, TP Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2196,"2196","CTO-VinMart+-37/8BLeHongPhong","378B Lê Hồng Phong, P.Trà Nóc, Bình Thủy, Cần Thơ ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2230,"2230","CTO-VinMart+-53/64NguyenVietDung"," 53/64 Đường Nguyễn Việt Dũng, Phường An Thới , Quận Bình Thủy, TP. Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2201,"2201","CTO-VinMart+-566Duong30/4","566 đường 30/4, Hưng Lợi, Ninh Kiều, Cần Thơ","",10.79641,106.6644
"Cần Thơ","Quận Bình Thủy","Phường Trà Nóc",2220,"2220","CTO-VinMart+-84/6LeHongPhong","84/6 đường Lê Hồng Phong, Trà Nóc, Bình Thủy, Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2214,"2214","CTO-VinMart+-91/17BCachMangThang8","91/17B Cách Mạng Tháng 8, phường An Thới, quận Bình Thủy ,Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2223,"2223","CTO-VinMart+-9TranChien","Số 9, đường Trần Chiên, Khu vực Thạnh Mỹ, Phường Lê Bình, Quận Cái Răng, Thành Phố Cần Thơ","",10.79641,106.6644
"Sóc Trăng","Huyện Long Phú","Thị trấn Đại Ngãi",2203,"2203","CTO-VinMart+-SO12DUONGSO8","SỐ 12 ĐƯỜNG SỐ 8, Khu dân cư 586, P. PHÚ THỨ, CÁI RĂNG, CẦN THƠ","",10.7695,106.66354
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1211,"1211","Củ Chi Hub_Deleted","","",0,0
"Bình Dương","Thị xã Thuận An","Phường Hưng Định",1250,"1250","Châu Đức","Châu Đức","",10.62847,107.243
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1241,"1241","Dat Do","Đất Đỏ","",0.000104728,0.0010731393
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2236,"2236","DNA-VinMart+-757TranCaoVan","757 Trần Cao Vân,phường Thanh Khê Đông,quận Thanh Khê,thành phố Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2159,"2159","DNI-VinMart+-042To2","042 tổ 2,khu phố 3, phường Long Bình Tân, Biên Hòa, Đồng Nai","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2154,"2154","DNI-VinMart+-113CMT8","113 CMT8,P.Hòa Bình,Biên Hòa, Đồng Nai","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2166,"2166","DNI-VinMart+-18ApOngHuong","18 Ấp Ông Hường, Xã Thiện Tân, Huyện Vĩnh Cửu, Tỉnh Đồng Nai","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2168,"2168","DNI-VinMart+-2/11KhuPho4","2/11 Khu Phố 4, Phường Trảng Dài, TP Biên Hoà, Tỉnh Đồng Nai","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2172,"2172","DNI-VinMart+-249HaHuyGiap","249 Hà Huy Giáp, Phường Quyết Thắng, Thành Phố Biên Hòa, Đồng Nai","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2162,"2162","DNI-VinMart+-27Duong643","27 Đường 643 khu phố 2, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2158,"2158","DNI-VinMart+-367BuiVanHoa","367 đường Bùi Văn Hòa, khu phố 6, Phường Long Bình, TP . Biên Hòa, Tỉnh Đồng Nai.","",10.79641,106.6644
