"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id"
"A000219","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000219.json","William","Lester","Armstrong",,"1937-03-16","M","R",,,,,"400927",,,"14002",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:53 -0400","ocd-division/country:us/state:co",,,,"CO","2","","S134"
"B000063","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000063.json","Howard","Henry","Baker",,"1925-11-15","M","R",,,,,"401067",,,"11200",,,"","",,,false,,,,"13",,,,"2013-04-12 20:11:50 -0400","ocd-division/country:us/state:tn",,,,"TN","2","",""
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max",,"Baucus",,"1941-12-11","M","D",,,,"SenatorBaucus","300005","1727",,"14203",,"/m/01rcm2","","http://www.baucus.senate.gov",,,false,,,,"1",,,,"2016-06-14 16:25:58 -0400","ocd-division/country:us/state:mt",,,,"MT","2","","S127"
"B000254","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000254.json","Birch","Evans","Bayh",,"1928-01-22","M","D",,,,,"401248",,,"10800",,,"","",,,false,,,,"17",,,,"2013-04-12 20:11:48 -0400","ocd-division/country:us/state:in",,,,"IN","3","",""
"B000351","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000351.json","Henry","Louis","Bellmon",,"","M","R",,,,,"401343",,,"12101",,,"","",,,false,,,,"11",,,,"2013-04-12 20:11:48 -0400","ocd-division/country:us/state:ok",,,,"OK","3","",""
"B000401","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000401.json","Lloyd","Millard","Bentsen",,"1921-02-11",,"D",,,,,"401391",,,"660",,,"","",,,false,,,,"9",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:tx",,,,"TX","1","","S009"
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","R.","Biden","Jr.","1942-11-20","M","D",,,,,"300008","34",,"14101",,,"","",,,false,,,,"7",,,,"2017-11-29 06:35:51 -0500","ocd-division/country:us/state:de",,,,"DE","2","","S010"
"B000639","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000639.json","David","Lyle","Boren",,"1941-04-21","M","D",,,,,"401604",,,"14700",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ok",,,,"OK","2","","S128"
"B000647","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000647.json","Rudolph","Eli","Boschwitz",,"1930-11-07",,"R",,,,,"401611",,,"14701",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:53 -0400","ocd-division/country:us/state:mn",,,,"MN","2","","S135"
"B001225","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001225.json","William","Warren","Bradley",,"1943-07-28","M","D",,,,,"401709",,,"14702",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:nj",,,,"NJ","2","","S132"
