"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id"
"A000062","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000062.json","George","David","Aiken",,"1892-08-20","M","R",,,,,"400722",,,"52",,,"","",,,false,,,,"9",,,,"2013-04-12 20:11:44 -0400","ocd-division/country:us/state:vt",,,,"VT","3","",""
"A000186","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000186.json","Clinton","Presba","Anderson",,"1895-10-23",,"D",,,,,"400841",,,"165",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:44 -0400","ocd-division/country:us/state:nm",,,,"NM","2","",""
"B000095","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000095.json","Raymond","Earl","Baldwin",,"1893-08-31","M","R",,,,,"401097",,,"390",,,"","",,,false,,,,"3",,,,"2013-04-12 20:11:32 -0400","ocd-division/country:us/state:ct",,,,"CT","1","",""
"B000145","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000145.json","Alben","William","Barkley",,"1877-11-24",,"D",,,,,"401146",,,"437",,,"","",,,false,,,,"22",,,,"2013-04-12 20:11:37 -0400","ocd-division/country:us/state:ky",,,,"KY","3","",""
"B000399","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000399.json","William",,"Benton",,"1900-04-01","M","D",,,,,"401390",,,"659",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:33 -0400","ocd-division/country:us/state:ct",,,,"CT","1","",""
"B000816","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000816.json","Ralph","Owen","Brewster",,"1888-02-22","M","R",,,,,"401773",,,"1021",,,"","",,,false,,,,"9",,,,"2013-04-12 20:11:32 -0400","ocd-division/country:us/state:me",,,,"ME","1","",""
"B000820","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000820.json","John","William","Bricker",,"","M","R",,,,,"401777",,,"1024",,,"","",,,false,,,,"3",,,,"2013-04-12 20:11:36 -0400","ocd-division/country:us/state:oh",,,,"OH","1","",""
"B000823","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000823.json","Henry","Styles","Bridges",,"1898-09-09","M","R",,,,,"401780",,,"1027",,,"","",,,false,,,,"13",,,,"2013-04-12 20:11:37 -0400","ocd-division/country:us/state:nh",,,,"NH","2","",""
"B000894","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000894.json","Joseph","Melville","Broughton",,"1888-11-17","M","D",,,,,"401851",,,"1090",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:33 -0400","ocd-division/country:us/state:nc",,,,"NC","2","",""
"B001177","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001177.json","Hugh","Alfred","Butler",,"","M","R",,,,,"402119",,,"1338",,,"","",,,false,,,,"9",,,,"2013-04-12 20:11:36 -0400","ocd-division/country:us/state:ne",,,,"NE","1","",""
