"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000031","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000031.json","Brockman",,"Adams",,"1927-01-13",,"D",,,,,"400692",,,"10700",,,"","",,,false,,,,"3",638,7,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:wa",,,,"WA","3","","S180",1.1,89.94,10.06
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","K.","Akaka",,"1924-09-11","M","D",,"SenatorAkaka",,"senatorakaka","300001","8704",,"14400",,"/m/01rbrq","","",,,false,,,,"1",234,3,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:hi",,,,"HI","1","","S213",1.28,88.31,11.69
"A000219","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000219.json","William","Lester","Armstrong",,"1937-03-16","M","R",,,,,"400927",,,"14002",,,"","",,,false,,,,"11",638,86,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:co",,,,"CO","2","","S134",13.48,84.66,15.34
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max",,"Baucus",,"1941-12-11","M","D",,,,"SenatorBaucus","300005","1727",,"14203",,"/m/01rcm2","","http://www.baucus.senate.gov",,,false,,,,"11",638,15,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:mt",,,,"MT","2","","S127",2.35,81.23,18.77
"B000401","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000401.json","Lloyd","Millard","Bentsen",,"1921-02-11",,"D",,,,,"401391",,,"660",,,"","",,,false,,,,"19",638,14,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:tx",,,,"TX","1","","S009",2.19,86.91,13.09
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","R.","Biden","Jr.","1942-11-20","M","D",,,,,"300008","34",,"14101",,,"","",,,false,,,,"17",638,12,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:de",,,,"DE","2","","S010",1.88,82.96,17.04
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff",,"Bingaman",,"1943-10-03","M","D",,"jeffbingaman",,"SenJeffBingaman","300009","590",,"15101",,"/m/01xck2","","",,,false,,,,"7",638,20,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:nm",,,,"NM","1","","S167",3.13,84.5,15.5
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","S.","Bond",,"1939-03-06","M","R",,,,"CSBondMO","300010","2360",,"15500",,"/m/01_6h2","","",,,false,,,,"3",638,11,0,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:mo",,,,"MO","3","","S200",1.72,89.4,10.6
"B000639","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000639.json","David","Lyle","Boren",,"1941-04-21","M","D",,,,,"401604",,,"14700",,,"","",,,false,,,,"11",638,35,1,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:ok",,,,"OK","2","","S128",5.49,76.46,23.54
"B000647","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000647.json","Rudolph","Eli","Boschwitz",,"1930-11-07",,"R",,,,,"401611",,,"14701",,,"","",,,false,,,,"11",638,31,1,"2019-10-07 09:49:42 -0400","ocd-division/country:us/state:mn",,,,"MN","2","","S135",4.86,88.2,11.8
