"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","K.","Akaka",,"1924-09-11","M","D",,"SenatorAkaka",,"senatorakaka","300001","8704",,"14400",,"/m/01rbrq","","",,,false,,,,"13","2006",675,36,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:hi",,,,"HI","1","","S213",5.33,95.19,4.81
"A000360","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000360.json","Lamar",,"Alexander",,"1940-07-03","M","R",,"SenAlexander","senatorlamaralexander","lamaralexander","300002","5","15691","40304","N00009888","/m/01rbs3","","https://www.alexander.senate.gov/public","https://www.alexander.senate.gov/public/?a=RSS.Feed",,false,,,,"1","2008",675,13,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:tn",,,,"TN","2","","S289",1.93,96.65,3.35
"A000109","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000109.json","Wayne","A.","Allard",,"1943-12-02","M","R",,,,,"300003",,,"15801",,,"","",,,false,,,,"7","2008",675,3,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:co",,,,"CO","2","","S250",0.44,95.35,4.65
"A000121","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000121.json","George","Felix","Allen",,"1952-03-08","M","R",,,,,"300004",,,"15847",,,"","",,,false,,,,"3","2006",675,2,1,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:va",,,,"VA","1","","S274",0.3,96.11,3.89
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max",,"Baucus",,"1941-12-11","M","D",,,,"SenatorBaucus","300005","1727",,"14203",,"/m/01rcm2","","http://www.baucus.senate.gov",,,false,,,,"25","2008",675,17,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:mt",,,,"MT","2","","S127",2.52,83.2,16.8
"B001233","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001233.json","Evan",,"Bayh",,"1955-12-26","M","D",,,,"SenEvanBayh","300006",,,"49901",,"/m/01rcnr","","",,,false,,,,"5","2004",675,8,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:in",,,,"IN","3","","S264",1.19,87.58,12.42
"B000382","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000382.json","Robert","F.","Bennett",,"1933-09-18","M","R",,,,"SenatorBennett","300007","25708",,"49307",,"/m/01xtg9","","",,,false,,,,"11","2004",675,17,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:ut",,,,"UT","3","","S231",2.52,96.79,3.21
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","R.","Biden","Jr.","1942-11-20","M","D",,,,,"300008","34",,"14101",,,"","",,,false,,,,"31","2008",675,52,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:de",,,,"DE","2","","S010",7.7,93.11,6.89
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff",,"Bingaman",,"1943-10-03","M","D",,"jeffbingaman",,"SenJeffBingaman","300009","590",,"15101",,"/m/01xck2","","",,,false,,,,"21","2006",675,10,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:nm",,,,"NM","1","","S167",1.48,93.37,6.63
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","S.","Bond",,"1939-03-06","M","R",,,,"CSBondMO","300010","2360",,"15500",,"/m/01_6h2","","",,,false,,,,"17","2004",675,10,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:mo",,,,"MO","3","","S200",1.48,96.82,3.18
"B000711","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000711.json","Barbara",,"Boxer",,"1940-11-11","F","D",,"SenatorBoxer","senatorboxer","SenatorBoxer","300011","2470",,"15011",,"/m/01c1n5","","https://www.boxer.senate.gov","https://www.boxer.senate.gov/rss/?p=release",,false,,,,"11","2004",675,22,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:ca",,,,"CA","3","","S223",3.26,95.93,4.07
"B000780","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000780.json","John","B.","Breaux",,"1944-03-01","M","D",,,,,"300012",,,"13056",,,"","",,,false,,,,"17","2004",675,15,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:la",,,,"LA","3","","S179",2.22,75.47,24.53
"B000953","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000953.json","Sam",,"Brownback",,"1956-09-12","M","R",,"SenSamBrownback",,"SenatorSamBrownback","300013",,,"29523",,"/m/0202ny","","",,,false,,,,"9","2004",675,21,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:ks",,,,"KS","3","","S249",3.11,96.15,3.85
"B001066","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001066.json","Jim",,"Bunning",,"1931-10-23","M","R",,,,"SenJimBunning","300014","1457",,"15405",,"/m/0lbm2","","",,,false,,,,"5","2004",675,21,0,"2019-10-07 08:34:21 -0400","ocd-division/country:us/state:ky",,,,"KY","3","","S265",3.11,98,2
