"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000360","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000360.json","Lamar",,"Alexander",,"1940-07-03","M","R",,"SenAlexander","senatorlamaralexander","lamaralexander","300002","5","15691","40304","N00009888","/m/01rbs3","P60003225","https://www.alexander.senate.gov/public","https://www.alexander.senate.gov/public/?a=RSS.Feed",,false,,0.323,,"13","2020",502,14,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:tn",,,,"TN","2","","S289",2.79,87.06,12.94
"A000368","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000368.json","Kelly",,"Ayotte",,"1968-06-27","F","R",,"KellyAyotte","kellyayottenh","SenatorAyotte","412493","95241",,"41106",,"/m/0g9g4r","S0NH00235","http://www.ayotte.senate.gov","http://www.ayotte.senate.gov/rss/",,false,,0.351,,"5","2016",502,7,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:nh",,,,"NH","3","","S340",1.39,80.86,19.14
"B001230","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001230.json","Tammy",,"Baldwin",,"1962-02-11","F","D",,"SenatorBaldwin","senatortammybaldwin","witammybaldwin","400013","57884","3470","29940","N00004367","/m/024v02","S2WI00219","https://www.baldwin.senate.gov","https://www.baldwin.senate.gov/rss/feeds/?type=all",,false,,-0.528,,"3","2018",502,0,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:wi",,,,"WI","1","","S354",0,96.15,3.85
"B001261","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001261.json","John",,"Barrasso",,"1952-07-21","M","R",,"SenJohnBarrasso","johnbarrasso","barrassowyo","412251","1024777","52662","40707","N00006236","/m/02rsm32","S6WY00068","https://www.barrasso.senate.gov","https://www.barrasso.senate.gov/public/?a=rss.feed",,false,,0.53,,"9","2018",502,1,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:wy",,,,"WY","1","","S317",0.2,94.92,5.08
"B001267","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001267.json","Michael",,"Bennet",,"1964-11-28","M","D",,"SenBennetCo","senbennetco","SenatorBennet","412330","1031622","110942","40910","N00030608","/m/05b60qf","S0CO00211","https://www.bennet.senate.gov/public",,,false,,-0.207,,"7","2016",502,0,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:co",,,,"CO","3","","S330",0,92.09,7.91
"B001277","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001277.json","Richard",,"Blumenthal",,"1946-02-13","M","D",,"SenBlumenthal","SenBlumenthal","SenatorBlumenthal","412490","21799","1568","41101","N00031685","/m/03tg8m","S0CT00177","https://www.blumenthal.senate.gov","https://www.blumenthal.senate.gov/rss/feeds/?type=press",,false,,-0.421,,"5","2016",502,2,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:ct",,,,"CT","3","","S341",0.4,97.96,2.04
"B000575","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000575.json","Roy",,"Blunt",,"1950-01-10","M","R",,"RoyBlunt","SenatorBlunt","SenatorBlunt","400034","45465","418","29735","N00005195","/m/034fn4","S0MO00183","https://www.blunt.senate.gov",,,false,,0.43,,"5","2016",502,22,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:mo",,,,"MO","3","","S342",4.38,92.57,7.43
"B001288","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001288.json","Cory",,"Booker",,"1969-04-27","M","D",,"SenBooker",,"SenCoryBooker","412598","84679","76151","41308","N00035267","/m/06p430","S4NJ00185","https://www.booker.senate.gov",,,false,,-0.615,,"3","2020",502,8,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:nj",,,,"NJ","2","","S370",1.59,96.3,3.7
"B001236","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001236.json","John",,"Boozman",,"1950-12-10","M","R",,"JohnBoozman","JohnBoozman","BoozmanPressOffice","400040","92069","27958","20101","N00013873","/m/024s3v","S0AR00150","https://www.boozman.senate.gov/public","https://www.boozman.senate.gov/public/?a=RSS.Feed",,false,,0.401,,"5","2016",502,4,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:ar",,,,"AR","3","","S343",0.8,95.3,4.7
"B000711","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000711.json","Barbara",,"Boxer",,"1940-11-11","F","D",,"SenatorBoxer","senatorboxer","SenatorBoxer","300011","2470",,"15011",,"/m/01c1n5","P80003247","https://www.boxer.senate.gov","https://www.boxer.senate.gov/rss/?p=release",,false,,-0.45,,"23","2016",502,67,0,"2019-10-07 08:14:40 -0400","ocd-division/country:us/state:ca",,,,"CA","3","","S223",13.35,95.09,4.91
