"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id"
"A000017","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000017.json","James","George","Abourezk",,"1931-02-24","M","D",,,,,"400679",,,"13000",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:46 -0400","ocd-division/country:us/state:sd",,,,"SD","2","",""
"A000062","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000062.json","George","David","Aiken",,"1892-08-20","M","R",,,,,"400722",,,"52",,,"","",,,false,,,,"33",,,,"2013-04-12 20:11:44 -0400","ocd-division/country:us/state:vt",,,,"VT","3","",""
"A000127","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000127.json","James","Browning","Allen",,"1912-12-28","M","D",,,,,"400783",,,"12100",,,"","",,,false,,,,"5",,,,"2013-04-12 20:11:48 -0400","ocd-division/country:us/state:al",,,,"AL","3","",""
"B000063","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000063.json","Howard","Henry","Baker",,"1925-11-15","M","R",,,,,"401067",,,"11200",,,"","",,,false,,,,"7",,,,"2013-04-12 20:11:50 -0400","ocd-division/country:us/state:tn",,,,"TN","2","",""
"B000200","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000200.json","Dewey","Follett","Bartlett",,"1919-03-28",,"R",,,,,"401199",,,"14100",,,"","",,,false,,,,"1",,,,"2013-04-12 20:11:46 -0400","ocd-division/country:us/state:ok",,,,"OK","2","",""
"B000254","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000254.json","Birch","Evans","Bayh",,"1928-01-22","M","D",,,,,"401248",,,"10800",,,"","",,,false,,,,"11",,,,"2013-04-12 20:11:48 -0400","ocd-division/country:us/state:in",,,,"IN","3","",""
"B000272","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000272.json","John","Glenn","Beall",,"1927-06-19","M","R",,,,,"401266",,,"12002",,,"","",,,false,,,,"3",,,,"2013-04-12 20:11:45 -0400","ocd-division/country:us/state:md",,,,"MD","1","",""
"B000351","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000351.json","Henry","Louis","Bellmon",,"","M","R",,,,,"401343",,,"12101",,,"","",,,false,,,,"5",,,,"2013-04-12 20:11:48 -0400","ocd-division/country:us/state:ok",,,,"OK","3","",""
"B000384","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000384.json","Wallace","Foster","Bennett",,"1898-11-13",,"R",,,,,"401375",,,"645",,,"","",,,false,,,,"23",,,,"2013-04-12 20:11:44 -0400","ocd-division/country:us/state:ut",,,,"UT","3","",""
"B000401","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000401.json","Lloyd","Millard","Bentsen",,"1921-02-11",,"D",,,,,"401391",,,"660",,,"","",,,false,,,,"3",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:tx",,,,"TX","1","","S009"
