"id","name","chamber","url","api_uri","chair","chair_id","chair_party","chair_state","chair_uri","ranking_member_id","subcommittees"
"SSAF","Committee on Agriculture, Nutrition, and Forestry","Senate","http://www.agriculture.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSAF.json","Pat Roberts","R000307","R","KS","https://api.propublica.org/congress/v1/members/R000307.json","S000770","[{""id"":""SSAF13"",""name"":""Commodities, Risk Management, and Trade"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAF/subcommittees/SSAF13.json""},{""id"":""SSAF14"",""name"":""Conservation, Forestry, and Natural Resources"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAF/subcommittees/SSAF14.json""},{""id"":""SSAF15"",""name"":""Rural Development and Energy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAF/subcommittees/SSAF15.json""},{""id"":""SSAF17"",""name"":""Livestock, Marketing, and Agriculture Security"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAF/subcommittees/SSAF17.json""},{""id"":""SSAF16"",""name"":""Nutrition, Agricultural Research, and Specialty Crops"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAF/subcommittees/SSAF16.json""}]"
"SSAP","Committee on Appropriations","Senate","http://www.appropriations.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSAP.json","Thad Cochran","C000567","R","MS","https://api.propublica.org/congress/v1/members/C000567.json","L000174","[{""id"":""SSAP18"",""name"":""Departments of Labor, Health and Human Services, and Education, and Related Agencies"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP18.json""},{""id"":""SSAP16"",""name"":""Commerce, Justice, Science, and Related Agencies"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP16.json""},{""id"":""SSAP22"",""name"":""Energy and Water Development"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP22.json""},{""id"":""SSAP20"",""name"":""State, Foreign Operations, and Related Programs"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP20.json""},{""id"":""SSAP14"",""name"":""Department of Homeland Security"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP14.json""},{""id"":""SSAP17"",""name"":""Department of the Interior, Environment, and Related Agencies"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP17.json""},{""id"":""SSAP24"",""name"":""Transportation, Housing and Urban Development, and Related Agencies"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP24.json""},{""id"":""SSAP08"",""name"":""Legislative Branch"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP08.json""},{""id"":""SSAP01"",""name"":""Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP01.json""},{""id"":""SSAP02"",""name"":""Department of Defense"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP02.json""},{""id"":""SSAP19"",""name"":""Military Construction and Veterans Affairs, and Related Agencies"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP19.json""},{""id"":""SSAP23"",""name"":""Financial Services and General Government"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAP/subcommittees/SSAP23.json""}]"
"SSAS","Committee on Armed Services","Senate","http://www.armed-services.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSAS.json","John McCain","M000303","R","AZ","https://api.propublica.org/congress/v1/members/M000303.json","R000122","[{""id"":""SSAS16"",""name"":""Strategic Forces"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAS/subcommittees/SSAS16.json""},{""id"":""SSAS20"",""name"":""Emerging Threats and Capabilities"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAS/subcommittees/SSAS20.json""},{""id"":""SSAS17"",""name"":""Personnel"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAS/subcommittees/SSAS17.json""},{""id"":""SSAS13"",""name"":""SeaPower"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAS/subcommittees/SSAS13.json""},{""id"":""SSAS14"",""name"":""Airland"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAS/subcommittees/SSAS14.json""},{""id"":""SSAS15"",""name"":""Readiness and Management Support"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAS/subcommittees/SSAS15.json""},{""id"":""SSAS21"",""name"":""Cybersecurity"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSAS/subcommittees/SSAS21.json""}]"
"SSBK","Committee on Banking, Housing, and Urban Affairs","Senate","http://banking.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSBK.json","Michael D. Crapo","C000880","R","ID","https://api.propublica.org/congress/v1/members/C000880.json","B000944","[{""id"":""SSBK04"",""name"":""Securities, Insurance, and Investment"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSBK/subcommittees/SSBK04.json""},{""id"":""SSBK09"",""name"":""Housing, Transportation, and Community Development"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSBK/subcommittees/SSBK09.json""},{""id"":""SSBK12"",""name"":""Economic Policy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSBK/subcommittees/SSBK12.json""},{""id"":""SSBK05"",""name"":""National Security and International Trade and Finance"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSBK/subcommittees/SSBK05.json""},{""id"":""SSBK08"",""name"":""Financial Institutions and Consumer Protection"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSBK/subcommittees/SSBK08.json""}]"
"SSCM","Committee on Commerce, Science, and Transportation","Senate","http://www.commerce.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSCM.json","John Thune","T000250","R","SD","https://api.propublica.org/congress/v1/members/T000250.json","N000032","[{""id"":""SSCM26"",""name"":""Communications, Technology, Innovation, and the Internet"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSCM/subcommittees/SSCM26.json""},{""id"":""SSCM27"",""name"":""Tourism, Competitiveness, and Innovation"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSCM/subcommittees/SSCM27.json""},{""id"":""SSCM32"",""name"":""Transportation and Safety"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSCM/subcommittees/SSCM32.json""},{""id"":""SSCM31"",""name"":""Security"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSCM/subcommittees/SSCM31.json""},{""id"":""SSCM29"",""name"":""Manufacturing, Trade, and Consumer Protection"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSCM/subcommittees/SSCM29.json""},{""id"":""SSCM28"",""name"":""Aviation and Space"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSCM/subcommittees/SSCM28.json""},{""id"":""SSCM30"",""name"":""Science, Oceans, Fisheries, and Weather"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSCM/subcommittees/SSCM30.json""}]"
"SSEG","Committee on Energy and Natural Resources","Senate","http://www.energy.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSEG.json","Lisa Murkowski","M001153","R","AK","https://api.propublica.org/congress/v1/members/M001153.json","C000127","[{""id"":""SSEG03"",""name"":""Public Lands, Forests, and Mining"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEG/subcommittees/SSEG03.json""},{""id"":""SSEG04"",""name"":""National Parks"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEG/subcommittees/SSEG04.json""},{""id"":""SSEG07"",""name"":""Water and Power"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEG/subcommittees/SSEG07.json""},{""id"":""SSEG01"",""name"":""Energy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEG/subcommittees/SSEG01.json""}]"
"SSEV","Committee on Environment and Public Works","Senate","http://www.epw.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSEV.json","John Barrasso","B001261","R","WY","https://api.propublica.org/congress/v1/members/B001261.json","C000174","[{""id"":""SSEV15"",""name"":""Fisheries, Water, and Wildlife"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEV/subcommittees/SSEV15.json""},{""id"":""SSEV09"",""name"":""Superfund, Waste Management, and Regulatory Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEV/subcommittees/SSEV09.json""},{""id"":""SSEV10"",""name"":""Clean Air and Nuclear Safety"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEV/subcommittees/SSEV10.json""},{""id"":""SSEV16"",""name"":""Green Jobs and the New Economy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEV/subcommittees/SSEV16.json""},{""id"":""SSEV08"",""name"":""Transportation and Infrastructure"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEV/subcommittees/SSEV08.json""},{""id"":""SSEV18"",""name"":""Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSEV/subcommittees/SSEV18.json""}]"
"SSFI","Committee on Finance","Senate","http://www.finance.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSFI.json","Orrin G. Hatch","H000338","R","UT","https://api.propublica.org/congress/v1/members/H000338.json","W000779","[{""id"":""SSFI13"",""name"":""International Trade, Customs, and Global Competitiveness"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFI/subcommittees/SSFI13.json""},{""id"":""SSFI12"",""name"":""Energy, Natural Resources, and Infrastructure"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFI/subcommittees/SSFI12.json""},{""id"":""SSFI14"",""name"":""Fiscal Responsibility and Economic Growth"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFI/subcommittees/SSFI14.json""},{""id"":""SSFI10"",""name"":""Health Care"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFI/subcommittees/SSFI10.json""},{""id"":""SSFI02"",""name"":""Social Security, Pensions, and Family Policy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFI/subcommittees/SSFI02.json""},{""id"":""SSFI11"",""name"":""Taxation and IRS Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFI/subcommittees/SSFI11.json""}]"
"SSFR","Committee on Foreign Relations","Senate","http://www.foreign.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSFR.json","Bob Corker","C001071","R","TN","https://api.propublica.org/congress/v1/members/C001071.json","M000639","[{""id"":""SSFR12"",""name"":""International Development and Foreign Assistance, Economic Affairs, International Environmental Protection, and Peace Corps"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR12.json""},{""id"":""SSFR13"",""name"":""International Operations and Organizations, Human Rights, Democracy, and Global Women's Issues"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR13.json""},{""id"":""SSFR09"",""name"":""Africa and Global Health Policy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR09.json""},{""id"":""SSFR01"",""name"":""Europe and Regional Security Cooperation"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR01.json""},{""id"":""SSFR02"",""name"":""East Asia, the Pacific, and International Cybersecurity Policy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR02.json""},{""id"":""SSFR07"",""name"":""Near East, South Asia, Central Asia, and Counterterrorism"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR07.json""},{""id"":""SSFR06"",""name"":""Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR06.json""},{""id"":""SSFR14"",""name"":""State Department and USAID Management, International Operations, and Bilateral International Development"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR14.json""},{""id"":""SSFR15"",""name"":""Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSFR/subcommittees/SSFR15.json""}]"
"SSHR","Committee on Health, Education, Labor, and Pensions","Senate","http://www.help.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSHR.json","Lamar Alexander","A000360","R","TN","https://api.propublica.org/congress/v1/members/A000360.json","M001111","[{""id"":""SSHR09"",""name"":""Children and Families"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSHR/subcommittees/SSHR09.json""},{""id"":""SSHR11"",""name"":""Employment and Workplace Safety"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSHR/subcommittees/SSHR11.json""},{""id"":""SSHR12"",""name"":""Primary Health and Retirement Security"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSHR/subcommittees/SSHR12.json""}]"
