"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000370","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000370.json","Alma",,"Adams",,"1946-05-27","F","D",,"RepAdams","CongresswomanAdams",,"412607","76386","5935","21545","N00035451","/m/02b45d","H4NC12100","https://adams.house.gov","https://adams.house.gov/rss.xml",,true,,-0.466,,"10","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:nc/cd:12","2436 Rayburn House Office Building","202-225-1510",,"NC","12",false,"3712",0,97.37,1.32
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","B.","Aderholt",,"1965-07-22","M","R",,"Robert_Aderholt","RobertAderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","H6AL04098","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",,true,,0.369,,"26","2022",77,1,0,"2021-03-16 04:30:27 -0400","ocd-division/country:us/state:al/cd:4","266 Cannon House Office Building","202-225-4876",,"AL","4",false,"0104",1.3,98.67,0
"A000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000371.json","Pete",,"Aguilar",,"1979-06-19","M","D","House Democratic Caucus Vice Chair","reppeteaguilar","reppeteaguilar",,"412615","79994","70114","21506","N00033997","/m/0jwv0xf","H2CA31125","https://aguilar.house.gov","https://aguilar.house.gov/rss.xml",,true,,-0.291,,"8","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:ca/cd:31","109 Cannon House Office Building","202-225-3201",,"CA","31",false,"0631",0,97.37,1.32
"A000372","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000372.json","Rick",,"Allen",,"1951-11-07","M","R",,"reprickallen","CongressmanRickAllen",,"412625","62545","136062","21516","N00033720","/m/0127y9dk","H2GA12121","https://allen.house.gov",,,true,,0.682,,"8","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:ga/cd:12","570 Cannon House Office Building","202-225-2823",,"GA","12",false,"1312",0,97.37,1.32
"A000376","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000376.json","Colin",,"Allred",,"1983-04-15","M","D",,"RepColinAllred",,,"412828",,"177357",,"N00040989","/m/03d066b","H8TX32098","https://allred.house.gov",,,true,,,,"4","2022",77,0,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:tx/cd:32","114 Cannon House Office Building","202-225-2231",,"TX","32",false,"4832",0,97.37,1.32
"A000369","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000369.json","Mark",,"Amodei",,"1958-06-12","M","R",,"MarkAmodeiNV2","MarkAmodeiNV2","markamodeinv2","412500","62817","12537","21196","N00031177","/m/03bzdkn","H2NV02395","https://amodei.house.gov",,,true,,0.383,,"12","2022",77,1,0,"2021-03-16 04:30:23 -0400","ocd-division/country:us/state:nv/cd:2","104 Cannon House Office Building","202-225-6155",,"NV","2",false,"3202",1.3,92,6.67
"A000377","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000377.json","Kelly",,"Armstrong",,"1976-10-08","M","R",,"RepArmstrongND",,,"412794",,"139338",,"N00042868","/g/11hcszksh3","H8ND00096","https://armstrong.house.gov",,,true,,,,"4","2022",77,5,0,"2021-03-16 04:30:24 -0400","ocd-division/country:us/state:nd/cd:1","1740 Longworth House Office Building","202-225-2611",,"ND","At-Large",true,"3800",6.49,95.77,2.82
"A000375","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000375.json","Jodey",,"Arrington",,"1972-03-09","M","R",,"RepArrington","JodeyArrington",,"412726","1016482","155685","21700","N00038285","/m/0g9_f_1","H6TX19099","https://arrington.house.gov",,,true,,0.632,,"6","2022",77,3,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:tx/cd:19","1107 Longworth House Office Building","202-225-4005",,"TX","19",false,"4819",3.9,97.26,1.37
"A000148","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000148.json","Jake",,"Auchincloss",,"1988-01-29","M","D",,"RepAuchincloss",,,"456825",,,,,"/g/11f0xw2_p4","H0MA04192","https://auchincloss.house.gov/",,,true,,,,"2","2022",77,0,0,"2021-03-16 04:30:28 -0400","ocd-division/country:us/state:ma/cd:4","1524 Longworth House Office Building","202-225-5931",,"MA","4",false,"2504",0,98.68,0
"A000378","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000378.json","Cynthia",,"Axne",,"1965-04-20","F","D",,"RepCindyAxne",,,"412772",,"179226",,"N00041104","/g/11fgktcgcb","H8IA03124","https://axne.house.gov",,,true,,,,"4","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:ia/cd:3","1034 Longworth House Office Building","202-225-5476",,"IA","3",false,"1903",0,97.37,1.32
"B001291","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001291.json","Brian",,"Babin",,"1948-03-23","M","R",,"RepBrianBabin","RepBrianBabin",,"412655","44883","360","21551","N00005736","/m/010qgj35","H6TX02079","https://babin.house.gov",,,true,,0.702,,"8","2022",77,1,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:tx/cd:36","2236 Rayburn House Office Building","202-225-1555",,"TX","36",false,"4836",1.3,97.33,1.33
"B001298","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001298.json","Don",,"Bacon",,"1963-08-16","M","R",,"repdonbacon","RepDonBacon",,"412713","103442","166299","21701","N00037049","/m/01311t71","H6NE02125","https://bacon.house.gov",,,true,,0.392,,"6","2022",77,0,0,"2021-03-16 04:30:23 -0400","ocd-division/country:us/state:ne/cd:2","1024 Longworth House Office Building","202-225-4155",,"NE","2",false,"3102",0,85.53,13.16
"B001307","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001307.json","James",,"Baird",,"1945-06-04","M","R",,"RepJimBaird",,,"412777",,"86013",,"N00041954","/g/11gfd5wndr","H8IN04199","https://baird.house.gov",,,true,,,,"4","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:in/cd:4","1314 Longworth House Office Building","202-225-5037",,"IN","4",false,"1804",0,97.37,1.32
"B001306","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001306.json","Troy",,"Balderson",,"1962-01-16","M","R",,"RepBalderson",,,"412747",,"102781",,"N00042194","/m/09ry4tm","H8OH12180","https://balderson.house.gov",,,true,,,,"6","2022",77,4,0,"2021-03-16 04:30:23 -0400","ocd-division/country:us/state:oh/cd:12","2429 Rayburn House Office Building","202-225-5355",,"OH","12",false,"3912",5.19,93.06,5.56
"B001299","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001299.json","Jim",,"Banks",,"1979-07-16","M","R",,"RepJimBanks","RepJimBanks",,"412702","89806","116801","21702","N00037185","/m/0j621nj","H6IN03229","https://banks.house.gov",,,true,,0.636,,"6","2022",77,0,0,"2021-03-16 04:30:24 -0400","ocd-division/country:us/state:in/cd:3","1713 Longworth House Office Building","202-225-4436",,"IN","3",false,"1803",0,94.74,3.95
"B001282","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001282.json","Andy",,"Barr",,"1973-07-24","M","R",,"RepAndyBarr","RepAndyBarr","RepAndyBarr","412541","61848","117290","21333","N00031233","/m/0ddc6r6","H0KY06104","https://barr.house.gov",,,true,,0.49,,"10","2022",77,1,0,"2021-03-16 04:30:24 -0400","ocd-division/country:us/state:ky/cd:6","2430 Rayburn House Office Building","202-225-4706",,"KY","6",false,"2106",1.3,96,2.67
"B001300","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001300.json","Nanette",,"Barragán",,"1976-09-15","F","D",,"RepBarragan","CongresswomanBarragan",,"412687","104730","166270","21703","N00037019","/g/11bx55ybbz","H6CA44103","https://barragan.house.gov","https://barragan.house.gov/feed/",,true,,-0.514,,"6","2022",77,1,0,"2021-03-16 04:30:24 -0400","ocd-division/country:us/state:ca/cd:44","2246 Longworth House Office Building","202-225-8220",,"CA","44",false,"0644",1.3,96,2.67
"B001270","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001270.json","Karen",,"Bass",,"1953-10-03","F","D",,"RepKarenBass","RepKarenBass","RepKarenBass","412404","62502","28963","21110","N00031877","/m/027g9m6","H0CA33117","https://bass.house.gov","https://bass.house.gov/rss.xml",,true,,-0.585,,"12","2022",77,1,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:ca/cd:37","2021 Rayburn House Office Building","202-225-7084",,"CA","37",false,"0637",1.3,97.33,1.33
"B001281","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001281.json","Joyce",,"Beatty",,"1950-03-12","F","D",,"RepBeatty","RepJoyceBeatty",,"412565","67294","2427","21352","N00033904","/m/03lcwb","H2OH03125","https://beatty.house.gov","https://beatty.house.gov/rss.xml",,true,,-0.431,,"10","2022",77,2,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:oh/cd:3","2303 Rayburn House Office Building","202-225-4324",,"OH","3",false,"3903",2.6,97.3,1.35
"B000668","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000668.json","Cliff",,"Bentz",,"1952-01-12","M","R",,"RepBentz",,,"456842",,,,,"/m/0gfdsjb","H0OR02127","https://bentz.house.gov/",,,true,,,,"2","2022",77,0,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:or/cd:2","1239 Longworth House Office Building","202-225-6730",,"OR","2",false,"4102",0,97.37,1.32
"B001287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001287.json","Ami",,"Bera",,"1965-03-02","M","D",,"RepBera","RepAmiBera","repamibera","412512","1033636","120030","21304","N00030717","/m/0dgqnts","H0CA03078","https://bera.house.gov","https://bera.house.gov/rss.xml",,true,,-0.233,,"10","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:ca/cd:7","172 Cannon House Office Building","202-225-5716",,"CA","7",false,"0607",0,97.37,1.32
"B001301","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001301.json","Jack",,"Bergman",,"1947-02-02","M","R",,"RepJackBergman","RepJackBergman","RepJackBergman","412709","1020529","170172","21704","N00039533","/m/05b2l3v","H6MI01226","https://bergman.house.gov",,,true,,0.435,,"6","2022",77,2,0,"2021-03-16 04:30:24 -0400","ocd-division/country:us/state:mi/cd:1","566 Cannon House Office Building","202-225-4735",,"MI","1",false,"2601",2.6,95.95,2.7
"B001292","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001292.json","Donald",,"Beyer",,"1950-06-20","M","D",,"RepDonBeyer","RepDonBeyer",,"412657","21141","1707","21554","N00036018","/m/053g16","H4VA08224","https://beyer.house.gov",,,true,,-0.385,,"8","2022",77,0,0,"2021-03-16 04:30:28 -0400","ocd-division/country:us/state:va/cd:8","1119 Longworth House Office Building","202-225-4376",,"VA","8",false,"5108",0,98.68,0
"B000740","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000740.json","Stephanie",,"Bice",,"1973-11-11","F","R",,"RepBice",,,"456841",,,,,"/g/11h2hmkrv8","H0OK05205","https://bice.house.gov/",,,true,,,,"2","2022",77,0,0,"2021-03-16 04:30:27 -0400","ocd-division/country:us/state:ok/cd:5","1223 Longworth House Office Building","202-225-2132",,"OK","5",false,"4005",0,97.37,1.32
"B001302","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001302.json","Andy",,"Biggs",,"1958-11-07","M","R",,"RepAndyBiggsAZ","RepAndyBiggs",,"412683","105145","28088","21705","N00039293","/m/0_1m23v","H6AZ05083","https://biggs.house.gov","https://biggs.house.gov/rss.xml",,true,,0.883,,"6","2022",77,0,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:az/cd:5","171 Cannon House Office Building","202-225-2635",,"AZ","5",false,"0405",0,96.05,2.63
"B001257","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001257.json","Gus",,"Bilirakis",,"1963-02-08","M","R",,"RepGusBilirakis","GusBilirakis","RepGusBilirakis","412250","1022873","17318","20758","N00027462","/m/0dy3z1","H6FL09070","https://bilirakis.house.gov","https://bilirakis.house.gov/rss.xml",,true,,0.404,,"18","2022",77,4,0,"2021-03-16 04:30:27 -0400","ocd-division/country:us/state:fl/cd:12","2354 Rayburn House Office Building","202-225-5755",,"FL","12",false,"1212",5.19,98.61,0
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","D.","Bishop","Jr.","1947-02-04","M","D",,"SanfordBishop","sanfordbishop","RepSanfordBishop","400030","26194","26817","29339","N00002674","/m/02554k","H2GA02031","https://bishop.house.gov","https://bishop.house.gov/rss.xml",,true,,-0.283,,"30","2022",77,1,0,"2021-03-16 04:30:24 -0400","ocd-division/country:us/state:ga/cd:2","2407 Rayburn House Office Building","202-225-3631",,"GA","2",false,"1302",1.3,96,2.67
"B001311","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001311.json","Dan",,"Bishop",,"1964-07-01","M","R",,"RepDanBishop",,,"412844",,"92423",,"N00044335","/m/013bg9xz","H0NC09187","https://danbishop.house.gov/",,,true,,,,"4","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:nc/cd:9","1207 Longworth House Office Building","202-225-1976",,"NC","9",false,"3709",0,97.37,1.32
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl",,"Blumenauer",,"1948-08-16","M","D",,"BlumenauerMedia",,"RepBlumenauer","400033","43809","367","29588","N00007727","/m/033tw8","H6OR03064","https://blumenauer.house.gov","https://blumenauer.house.gov/rss.xml",,true,,-0.427,,"28","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:or/cd:3","1111 Longworth House Office Building","202-225-4811",,"OR","3",false,"4103",0,97.37,1.32
"B001303","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001303.json","Lisa",,"Blunt Rochester",,"1962-02-10","F","D",,"RepLBR","Rep.BluntRochester",,"412689","104772","173249","21706","N00038414","/g/11c328y56v","H6DE00206","https://bluntrochester.house.gov",,,true,,-0.334,,"6","2022",77,0,0,"2021-03-16 04:30:26 -0400","ocd-division/country:us/state:de/cd:1","1724 Longworth House Office Building","202-225-4165",,"DE","At-Large",true,"1000",0,97.37,1.32
"B000825","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000825.json","Lauren",,"Boebert",,"1986-12-15","F","R",,"RepBoebert",,,"456805",,,,,"/g/11j2v06x6p","H0CO03165","https://boebert.house.gov/",,,true,,,,"2","2022",77,2,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:co/cd:3","1609 Longworth House Office Building","202-225-4761",,"CO","3",false,"0803",2.6,97.3,1.35
"B001278","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001278.json","Suzanne",,"Bonamici",,"1954-10-14","F","D",,"RepBonamici","congresswomanbonamici","RepSuzanneBonamici","412501","63966","59641","21198","N00033474","/m/02q453x","H2OR01133","https://bonamici.house.gov","https://bonamici.house.gov/rss.xml",,true,,-0.394,,"12","2022",77,0,0,"2021-03-16 04:30:25 -0400","ocd-division/country:us/state:or/cd:1","2231 Rayburn House Office Building","202-225-0855",,"OR","1",false,"4101",0,97.37,1.32
