"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil",,"Abercrombie",,"1938-06-26","M","D",,"neilabercrombie",,"hawaiirep1","400001",,,"15244",,"/m/0255rj","","",,,false,,,,"22",1065,136,1,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:hi/cd:1",,,,"HI","1",false,"1501",12.77,98.48,1.41
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","L.","Ackerman",,"1942-11-19","M","D",,"repgaryackerman",,"RepAckerman","400003","1002061",,"15080",,"/m/03rhdq","","",,,false,,,,"28",1655,132,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:ny/cd:5",,,,"NY","5",false,"3605",7.98,98.75,1.19
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","B.","Aderholt",,"1965-07-22","M","R",,"Robert_Aderholt","RobertAderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",,false,,,,"14",1655,63,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4",,,,"AL","4",false,"0104",3.81,93.37,6.56
"A000364","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000364.json","John",,"Adler",,"1959-08-23","M","D",,,,,"412264","1030767",,,,"/m/05jzss","","",,,false,,,,"2",1655,34,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:nj/cd:3",,,,"NJ","3",false,"3403",2.05,89.7,10.24
"A000358","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000358.json","Todd",,"Akin",,"1947-07-05","M","R",,"reptoddakin",,"RepToddAkin","400005","87412",,"20123",,"/m/025xzm","","",,,false,,,,"10",1655,79,1,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:mo/cd:2",,,,"MO","2",false,"2902",4.77,94.66,5.27
"A000361","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000361.json","Rodney",,"Alexander",,"1946-12-05","M","R",,"USRepAlexander","RepRodneyAlexander","RepRodneyMAlexander","400006","1004256",,"90327",,"/m/025jxc","","",,,false,,,,"8",1655,88,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:la/cd:5",,,,"LA","5",false,"2205",5.32,94.82,5.12
"A000362","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000362.json","Jason",,"Altmire",,"1968-03-07","M","D",,"RepJasonAltmire",,"congressmanaltmire","412231","1022872",,"20743",,"/m/0dzy2v","","",,,false,,,,"4",1655,0,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:pa/cd:4",,,,"PA","4",false,"4204",0,88.75,11.19
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","E.","Andrews",,"1957-08-04","M","D",,"RepAndrews",,,"400008","19670",,"29132",,,"","http://andrews.house.gov/",,,false,,,,"22",1655,64,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:nj/cd:1",,,,"NJ","1",false,"3401",3.87,98.74,1.2
"A000363","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000363.json","Michael",,"Arcuri",,"1959-06-11","M","D",,,,"RepArcuri","412224","1021495",,"20736",,,"","",,,false,,,,"4",1655,43,1,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:ny/cd:24",,,,"NY","24",false,"3624",2.6,91.76,8.18
"A000365","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000365.json","Steve",,"Austria",,"1958-10-12","M","R",,"SteveAustria",,"CongressmanAustria","412265","1031355",,,,,"","",,,false,,,,"2",1655,18,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:oh/cd:7",,,,"OH","7",false,"3907",1.09,97.02,2.91
"B001234","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001234.json","Joe",,"Baca",,"1947-01-23","M","D",,,,,"400009","81682",,"29942",,"/m/024xk0","","",,,false,,,,"12",1655,46,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:ca/cd:43",,,,"CA","43",false,"0643",2.78,99,0.94
"B001256","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001256.json","Michele",,"Bachmann",,"1956-04-06","F","R",,"MicheleBachmann","RepMicheleBachmann","RepMicheleBachmann","412216","1021492",,"20728",,"/m/06jm4y","","http://bachmann.house.gov",,,false,,,,"4",1655,144,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:mn/cd:6",,,,"MN","6",false,"2706",8.7,96.1,3.83
"B000013","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000013.json","Spencer",,"Bachus",,"1947-12-28","M","R",,"BachusAL06","SpencerBachus","congressmanbachus","400010","26397",,"29301",,"/m/024p0v","","http://bachus.house.gov",,,false,,,,"18",1655,51,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:al/cd:6",,,,"AL","6",false,"0106",3.08,93.67,6.27
"B001229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001229.json","Brian",,"Baird",,"1956-03-07","M","D",,,,,"400011","45981",,"29938",,"/m/02593n","","",,,false,,,,"12",1655,79,1,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:wa/cd:3",,,,"WA","3",false,"5303",4.77,93.04,6.89
"B001230","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001230.json","Tammy",,"Baldwin",,"1962-02-11","F","D",,"SenatorBaldwin","senatortammybaldwin","witammybaldwin","400013","57884","3470","29940","N00004367","/m/024v02","","https://www.baldwin.senate.gov","https://www.baldwin.senate.gov/rss/feeds/?type=all",,false,,,,"12",1655,37,3,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:wi/cd:2",,,,"WI","2",false,"5502",2.24,97.45,2.49
"B001239","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001239.json","J.","Gresham","Barrett",,"1961-02-14","M","R",,"greshambarrett",,"Repgreshambarrett","400016","1003613",,"20347",,,"","",,,false,,,,"8",1655,696,17,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:sc/cd:3",,,,"SC","3",false,"4503",42.05,94.81,5.08
"B001252","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001252.json","John",,"Barrow",,"1955-10-31","M","D",,"RepJohnBarrow","CongressmanJohnBarrow","RepJohnBarrow","400628","1012025",,"20507",,"/m/056gyc","","http://barrow.house.gov",,,false,,,,"6",1655,39,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:ga/cd:12",,,,"GA","12",false,"1312",2.36,94.46,5.48
"B000208","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000208.json","Roscoe","G.","Bartlett",,"1926-06-03","M","R",,,,"RepRoscoeBartlett","400017","27026",,"29356",,"/m/025k82","","",,,false,,,,"18",1655,8,4,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:md/cd:6",,,,"MD","6",false,"2406",0.48,92.85,7.09
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","L.","Barton",,"1949-09-15","M","R",,"RepJoeBarton","RepJoeBarton","repjoebarton","400018","5248","27082","15085","N00005656","/m/03rspq","","https://joebarton.house.gov",,,false,,,,"26",1655,66,1,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:tx/cd:6",,,,"TX","6",false,"4806",3.99,93.49,6.45
"B001253","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001253.json","Melissa",,"Bean",,"1962-01-22","F","D",,,,,"400631",,,"20509",,"/m/03xjjx","","",,,false,,,,"6",1655,79,1,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:il/cd:8",,,,"IL","8",false,"1708",4.77,91.44,8.49
"B000287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000287.json","Xavier",,"Becerra",,"1958-01-26","M","D",,"RepBecerra","XavierBecerra","XavierBecerra","400021","26567",,"29316",,"/m/024trk","","http://becerra.house.gov","https://becerra.house.gov/rss/press-releases.xml",,false,,,,"18",1655,64,1,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:ca/cd:31",,,,"CA","31",false,"0631",3.87,98.17,1.77
"B001231","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001231.json","Shelley",,"Berkley",,"1951-01-20","F","D",,"repberkley",,"ShelleyBerkley","400024",,,"29922",,"/m/025h7j","","",,,false,,,,"12",1655,60,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:nv/cd:1",,,,"NV","1",false,"3201",3.63,98.61,1.32
"B000410","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000410.json","Howard","L.","Berman",,"1941-04-15","M","D",,"RepHowardBerman",,"RepHowardBerman","400025","1592",,"15004",,,"","",,,false,,,,"28",1655,86,0,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:ca/cd:28",,,,"CA","28",false,"0628",5.2,98.65,1.28
"B000420","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000420.json","Marion",,"Berry",,"1942-08-27","M","D",,,,"CongressmanBerry","400026","45115",,"29702",,,"","",,,false,,,,"14",1655,155,2,"2019-10-07 10:50:00 -0400","ocd-division/country:us/state:ar/cd:1",,,,"AR","1",false,"0501",9.37,93.7,6.24
