"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil",,"Abercrombie",,"1938-06-26","M","D",,"neilabercrombie",,"hawaiirep1","400001",,,"15244",,"/m/0255rj","","",,,false,,,,"20",1873,117,4,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:hi/cd:1",,,,"HI","1",false,"1501",6.25,96.37,4.04
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","L.","Ackerman",,"1942-11-19","M","D",,"repgaryackerman",,"RepAckerman","400003","1002061",,"15080",,"/m/03rhdq","","",,,false,,,,"26",1873,95,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ny/cd:5",,,,"NY","5",false,"3605",5.07,99.49,1.03
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","B.","Aderholt",,"1965-07-22","M","R",,"Robert_Aderholt","RobertAderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",,false,,,,"12",1873,51,4,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4",,,,"AL","4",false,"0104",2.72,94.25,6.26
"A000358","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000358.json","Todd",,"Akin",,"1947-07-05","M","R",,"reptoddakin",,"RepToddAkin","400005","87412",,"20123",,"/m/025xzm","","",,,false,,,,"8",1873,36,5,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:mo/cd:2",,,,"MO","2",false,"2902",1.92,93.73,6.83
"A000361","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000361.json","Rodney",,"Alexander",,"1946-12-05","M","R",,"USRepAlexander","RepRodneyAlexander","RepRodneyMAlexander","400006","1004256",,"90327",,"/m/025jxc","","",,,false,,,,"6",1873,103,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:la/cd:5",,,,"LA","5",false,"2205",5.5,93.95,6.63
"A000357","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000357.json","Thomas","H.","Allen",,"1945-04-16","M","D",,,,,"400007",,,"29728",,,"","",,,false,,,,"12",1873,54,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:me/cd:1",,,,"ME","1",false,"2301",2.88,98.99,1.56
"A000362","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000362.json","Jason",,"Altmire",,"1968-03-07","M","D",,"RepJasonAltmire",,"congressmanaltmire","412231","1022872",,"20743",,"/m/0dzy2v","","",,,false,,,,"2",1873,0,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:pa/cd:4",,,,"PA","4",false,"4204",0,88.34,12.2
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","E.","Andrews",,"1957-08-04","M","D",,"RepAndrews",,,"400008","19670",,"29132",,,"","http://andrews.house.gov/",,,false,,,,"20",1873,225,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:nj/cd:1",,,,"NJ","1",false,"3401",12.01,99.01,1.6
"A000363","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000363.json","Michael",,"Arcuri",,"1959-06-11","M","D",,,,"RepArcuri","412224","1021495",,"20736",,,"","",,,false,,,,"2",1873,16,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ny/cd:24",,,,"NY","24",false,"3624",0.85,98.25,2.3
"B001234","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001234.json","Joe",,"Baca",,"1947-01-23","M","D",,,,,"400009","81682",,"29942",,"/m/024xk0","","",,,false,,,,"10",1873,58,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ca/cd:43",,,,"CA","43",false,"0643",3.1,98.71,1.79
