"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","L.","Ackerman",,"1942-11-19","M","D",,"repgaryackerman",,"RepAckerman","400003","1002061",,"15080",,"/m/03rhdq","","",,,false,,,,"30","2012",1607,143,3,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:ny/cd:5",,,,"NY","5",false,"3605",8.9,94.65,5.28
"A000366","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000366.json","Sandra",,"Adams",,"1956-12-14","F","R",,"RepSandyAdams",,,"412414",,,,,,"","",,,false,,,,"2",,1607,0,0,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:fl/cd:24",,,,"FL","24",false,"1224",0,93.98,5.96
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","B.","Aderholt",,"1965-07-22","M","R",,"Robert_Aderholt","RobertAderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",,false,,0.361,,"16","2012",1607,13,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4",,,,"AL","4",false,"0104",0.81,93.05,6.89
"A000358","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000358.json","Todd",,"Akin",,"1947-07-05","M","R",,"reptoddakin",,"RepToddAkin","400005","87412",,"20123",,"/m/025xzm","","",,,false,,0.612,,"12","2012",1607,280,0,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:mo/cd:2",,,,"MO","2",false,"2902",17.42,96.21,3.72
"A000361","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000361.json","Rodney",,"Alexander",,"1946-12-05","M","R",,"USRepAlexander","RepRodneyAlexander","RepRodneyMAlexander","400006","1004256",,"90327",,"/m/025jxc","","",,,false,,0.331,,"10","2012",1607,42,0,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:la/cd:5",,,,"LA","5",false,"2205",2.61,93.19,6.75
"A000362","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000362.json","Jason",,"Altmire",,"1968-03-07","M","D",,"RepJasonAltmire",,"congressmanaltmire","412231","1022872",,"20743",,"/m/0dzy2v","","",,,false,,-0.133,,"6","2012",1607,11,0,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:pa/cd:4",,,,"PA","4",false,"4204",0.68,64.44,35.5
"A000367","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000367.json","Justin",,"Amash",,"1980-04-18","M","R",,"justinamash","repjustinamash","repjustinamash","412438","1033767","105566","21143","N00031938","/m/0c00p_n","","https://amash.house.gov","https://amash.house.gov/rss.xml",,false,,0.649,,"2",,1607,0,41,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:mi/cd:3",,,,"MI","3",false,"2603",0,74.92,25.02
"A000369","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000369.json","Mark",,"Amodei",,"1958-06-12","M","R",,"MarkAmodeiNV2","MarkAmodeiNV2","markamodeinv2","412500","62817","12537","21196","N00031177","/m/03bzdkn","","https://amodei.house.gov",,,false,,0.376,,"2",,900,39,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:nv/cd:2",,,,"NV","2",false,"3202",4.33,96.26,3.74
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","E.","Andrews",,"1957-08-04","M","D",,"RepAndrews",,,"400008","19670",,"29132",,,"","http://andrews.house.gov/",,,false,,-0.297,,"24","2012",1607,64,1,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:nj/cd:1",,,,"NJ","1",false,"3401",3.98,92.63,7.3
"A000365","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000365.json","Steve",,"Austria",,"1958-10-12","M","R",,"SteveAustria",,"CongressmanAustria","412265","1031355",,,,,"","",,,false,,,,"4","2012",1607,77,0,"2019-10-07 10:38:31 -0400","ocd-division/country:us/state:oh/cd:7",,,,"OH","7",false,"3907",4.79,94.14,5.79
